MarketID_period,eq_price
143303801,112
143303901,112
143304001,112
143304101,112
143500101,3978
143700101,112
144000101,97
144100101,112
144100201,112
144200101,96
144200102,96
144200201,96
144200202,96
144200301,96
144200302,96
144200401,96
144200402,96
144300101,114
144300102,114
144300103,114
144300104,114
144400101,65
144500101,112
144500201,111
144800101,65
144800102,65
144800201,65
144800202,65
144800301,65
144800302,65
144800401,65
144800402,65
144900101,112
144900102,112
144900103,112
144900201,112
144900202,112
144900203,112
144900301,112
144900302,112
144900303,112
144900401,112
144900402,112
144900403,112
145400101,113
145500101,108
145700101,108
145700102,108
145700201,108
145700202,108
145700301,108
145700302,108
145800101,95
145800102,95
145800201,95
145800202,95
145800301,95
145800302,95
145800401,95
145800402,95
145800501,95
145800502,95
145800601,94
145800602,94
145900101,106
146200101,119
146200102,119
146200103,119
146200104,119
146300101,100
146400101,78
146400102,78
146400201,78
146400202,78
146400301,78
146400302,78
146500101,65
146500102,65
146500201,65
146500202,65
146500301,65
146500302,65
147000101,80
147100101,114
147500201,220
147500301,220
147500401,220
147500501,220
147500601,220
147500701,220
147500801,220
147500901,220
147501001,220
147800101,100
147900102,108
147900103,108
147900104,108
147900105,108
147900106,108
147900107,108
147900108,108
147900109,108
147900110,108
148000101,100
148100101,115
148100102,115
148100103,115
148100104,115
148100105,115
148100106,115
148200101,112
148200201,112
148200301,112
148300101,96
148300102,96
148300103,96
148300201,85
148300202,85
148300203,85
148400101,112
148500101,99
148500102,99
148500103,99
148500201,99
148500202,99
148500203,99
148500301,99
148500302,99
148500303,99
148500401,99
148500402,99
148500403,99
148600101,110
148600201,110
148600301,110
148900101,112
149200101,98
149300101,112
149300201,112
149300301,112
149300401,112
149300501,112
149300601,112
149300701,112
149300801,112
149300901,112
149400101,97
149400102,97
149400103,97
149400104,97
149400201,97
149400202,97
149400203,97
149400204,97
149400301,97
149400302,97
149400303,97
149400304,97
149400401,97
149400402,97
149400403,97
149400404,97
149400501,95
149400502,95
149400503,94
149400504,95
149500101,118
149500201,118
149600101,112
149700101,98
149700102,98
149700103,98
149700104,98
149700105,98
149700106,98
150300101,65
150300201,65
150300301,65
150300401,57
150400101,112
150400201,112
150600101,112
150700101,75
150700201,75
150800101,112
151000101,93
151000102,93
151000201,93
151000202,93
151000301,93
151000302,93
151000401,93
151000402,93
151000501,93
151000502,93
151000601,93
151000602,92
151200101,112
151200201,112
151200301,112
151200401,112
151200501,112
151200601,112
151200701,112
151200801,112
151200901,112
151201001,112
151201101,112
151201201,112
151201301,112
151201401,112
151201501,112
151300101,93
151400101,120
151400102,120
151400103,120
151400104,120
151500101,118
151500201,118
151500301,118
151500401,118
151500501,118
151800101,112
151800201,112
151800301,112
151800401,112
151800501,112
151900101,100
152100101,110
152100102,110
152100201,110
152100202,110
152100301,110
152100302,110
152100401,110
152100402,110
152100501,110
152100502,110
152100601,110
152100602,110
152100701,110
152100702,110
152100801,103
152100802,110
152200101,112
152200201,112
152200301,112
152200401,112
152200501,112
152300101,112
152300201,112
152300301,112
152300401,112
152300501,112
152300601,112
152300701,112
152300801,112
152300901,112
152301001,112
152301101,112
152301201,112
152301301,112
152301401,112
152301501,112
152400101,105
152400201,100
152500101,112
152500201,112
152500301,112
152500401,112
152500501,112
152500701,112
152700101,112
152700201,112
152700301,112
152700401,112
152700501,112
152800101,114
152800201,114
152800301,114
152800401,114
152800501,114
152900101,112
152900201,112
153000101,107
153000201,107
153100101,123
153100201,123
153100301,123
153100401,123
153200101,100
153300101,100
153300201,100
153300301,100
153300401,90
153400101,118
153500101,99
153600101,65
153600102,65
153600201,65
153600202,65
153600301,65
153600302,65
153700101,98
153800101,110
153800102,113
153900101,95
154000101,112
154000201,112
154000301,112
154000401,112
154100101,345
154100201,345
154100301,345
154200101,112
154200201,112
154200301,112
154200401,112
154200501,112
154200601,112
154200701,112
154200801,112
154200901,112
154400101,112
154400201,112
154600101,112
154600102,112
154600103,112
154600201,112
154600202,112
154600203,112
154600301,112
154600302,112
154600303,112
154700101,112
154700102,112
154700201,112
154700202,112
154800101,101
154800102,101
154800103,101
154800104,101
154800105,101
154900101,112
154900201,112
154900301,112
154900401,112
154900501,112
154900601,112
155200101,500
155200201,500
155200301,500
155200401,500
155200501,500
155300101,107
155300201,107
155300301,107
155300401,107
155300501,107
155300601,107
155300701,107
155500101,110
